piInstitution,projects,cohort,match_method,ever_used
"California Polytechnic State University, San Luis Obispo",8,RCU,xdmod,True
Harvard Medical School,8,R1,xdmod,True
Bowie State University,8,RCU,xdmod,True
East Tennessee State University,8,R2,xdmod,True
University of Iowa,7,R1,xdmod,True
"University of Nevada, Reno",7,R1,xdmod,True
Boise State University,7,R2,xdmod,True
Michigan Technological University,7,R1,xdmod,True
Space Telescope Science Institute,7,Non-academic,xdmod,True
Oklahoma State University,7,R1,xdmod,True
San Francisco State University,7,R2,xdmod,True
"University of Colorado, Denver",7,R1,xdmod,True
University of Hawaii,7,R1,xdmod,True
University of Massachusetts Chan Medical School,7,R2,xdmod,True
University of Alabama,7,R1,xdmod,True
George Washington University,6,R1,xdmod,True
University of Maryland Center for Environmental Science,6,R1,xdmod,True
Seattle University,6,RCU,xdmod,True
Mississippi State University,6,R1,xdmod,True
Illinois State University,6,R2,xdmod,True
Wayne State University,6,R1,xdmod,True
Harvey Mudd College,6,RCU,xdmod,True
University of Hawaii at Hilo,6,RCU,carnegie,False
West Texas A&M University,6,RCU,xdmod,True
"University of Alabama, Huntsville",6,R2,xdmod,True
University of Texas at El Paso,6,R1,xdmod,True
Robert Morris University,6,Other academic,xdmod,True
NSF National Center for Atmospheric Research,6,Non-academic,xdmod,True
South Dakota State University,5,R2,xdmod,True
North Carolina A&T State University,5,R2,xdmod,True
University of Montana,5,R1,xdmod,True
University of Texas Southwestern Medical Center,5,R1,xdmod,True
SUNY at Albany,5,R1,xdmod,True
East Carolina University,5,R1,xdmod,True
Texas State University,5,R2,xdmod,True
University of North Georgia,5,Other academic,xdmod,True
Missouri University of Science and Technology,5,R1,xdmod,True
University of Mississippi,5,R1,xdmod,True
University of the Pacific,5,Other academic,xdmod,True
Southern Oregon University,5,Other academic,xdmod,True
California State University-Fullerton,5,R2,xdmod,True
Lawrence Berkeley National Laboratory,5,Non-academic,xdmod,True
Inertia Enterprises Inc.,5,Non-academic,xdmod,True
NASA Ames Research Center,5,Non-academic,xdmod,True
Harvard-Smithsonian Center for Astrophysics,5,R1,xdmod,True
Los Alamos National Laboratory,5,Non-academic,xdmod,True
University of New Haven,5,RCU,xdmod,True
Internet2,5,Non-academic,xdmod,True
Loyola University Chicago,5,R1,xdmod,True
Portland State University,5,R2,xdmod,True
Utah State University,5,R1,xdmod,True
University of Dayton,5,R1,xdmod,True
"Brigham and Women's Hospital, Boston",5,Non-academic,xdmod,True
University of North Dakota,5,R1,xdmod,True
Child Mind Institute,5,Non-academic,xdmod,True
Wichita State University,5,R2,xdmod,True
Institute for Advanced Study,5,Non-academic,xdmod,True
CUNY Baruch College,5,Other academic,xdmod,True
University of Hawaii System Office,5,R1,xdmod,True
CUNY Brooklyn College,5,RCU,xdmod,True
"University of North Carolina, Charlotte",4,R1,xdmod,True
Clarkson University,4,R2,xdmod,True
Ohio University,4,R1,xdmod,True
"University of Maryland, Baltimore County",4,R1,xdmod,True
Saint Louis University,4,R1,xdmod,True
Southern Connecticut State University,4,R2,xdmod,True
Kean University,4,R2,xdmod,True
Abilene Christian University,4,R2,xdmod,True
"University of Nebraska, Lincoln",4,R1,xdmod,True
University of Maine,4,R1,xdmod,True
Marshall University,4,R2,xdmod,True
Brigham Young University,4,R1,xdmod,True
University of North Texas,4,R1,xdmod,True
Washington University School of Medicine,4,R1,xdmod,True
University of Louisville,4,R1,xdmod,True
Oak Ridge National Laboratory,4,Non-academic,xdmod,True
Tuskegee University,4,RCU,xdmod,True
New York University,4,R1,xdmod,True
Grand Valley State University,4,RCU,xdmod,True
Austin Peay State University,4,RCU,xdmod,True
CUNY Borough of Manhattan Community College,4,Other academic,xdmod,True
Murray State University,4,RCU,xdmod,True
Salk Institute for Biological Studies,4,Non-academic,xdmod,True
CUNY John Jay College,4,Other academic,xdmod,True
Johns Hopkins University Applied Physics Lab,4,R1,xdmod,True
Trinity College,4,RCU,xdmod,True
Utah Valley University,4,Other academic,xdmod,True
"Southern Illinois University, Carbondale",4,R1,xdmod,True
Texas A&M University-San Antonio,4,Other academic,xdmod,True
University of Idaho,4,R1,xdmod,True
Bryn Mawr College,4,RCU,xdmod,True
"University of Alaska, Fairbanks",4,R2,xdmod,True
Tokyo Electron America,4,Non-academic,xdmod,True
Reed College,4,RCU,xdmod,True
University Corporation for Atmospheric Research,4,Non-academic,xdmod,True
Western Illinois University,3,RCU,xdmod,True
Icahn School of Medicine at Mount Sinai,3,R2,xdmod,True
University of Southern Mississippi,3,R1,xdmod,True
California State University-San Marcos,3,RCU,xdmod,True
Davidson College,3,RCU,xdmod,True
North Dakota State University,3,R1,xdmod,True
Old Dominion University,3,R1,xdmod,True
Stony Brook Supercomputing Center,3,R1,xdmod,True
Cleveland State University,3,R2,xdmod,True
University of New Hampshire,3,R1,xdmod,True
Mayo Clinic,3,Non-academic,xdmod,True
Broad Institute of MIT and Harvard,3,R1,xdmod,True
Allen Institute for Brain Science,3,Non-academic,xdmod,True
Bowling Green State University,3,R2,xdmod,True
San Jose State University,3,R2,xdmod,True
Space Science Institute,3,Non-academic,xdmod,True
University of Toledo,3,R1,xdmod,True
Oregon Institute of Technology,3,RCU,carnegie,False
Ivy Tech,3,Other academic,keyword,False
Meharry Medical College,3,RCU,xdmod,True
Columbus State University,3,Other academic,xdmod,True
Central Michigan University,3,R2,xdmod,True
"California State Polytechnic University, Humboldt",3,RCU,xdmod,True
University of West Florida,3,R2,xdmod,True
Oakland University,3,R2,xdmod,True
University of Michigan Medical School,3,R1,xdmod,True
Montana State University,3,R1,xdmod,True
Southern University and A&M College,3,R2,xdmod,True
Marquette University,3,R2,xdmod,True
Scripps Institution of Oceanography,3,R1,xdmod,True
University of St. Thomas,3,RCU,carnegie,False
Florida Atlantic University,3,R1,xdmod,True
Wake Forest University,3,R2,xdmod,True
Clark Atlanta University,3,R2,xdmod,True
Fordham University,3,R2,xdmod,True
Manhattan College,3,Other academic,xdmod,True
University of Mississippi Medical Center,3,R1,xdmod,True
National Radio Astronomy Observatory,3,Non-academic,xdmod,True
Baylor College of Medicine,3,R1,xdmod,True
Fairleigh Dickinson University,3,Other academic,xdmod,True
Texas A&M AgriLife Research,3,R1,xdmod,True
SUNY College at Buffalo,3,Other academic,xdmod,True
CUNY Graduate School and University Center,3,R1,xdmod,True
University of San Diego,3,R2,xdmod,True
The Water Institute of the Gulf,3,Non-academic,xdmod,True
California State University-Monterey Bay,3,RCU,xdmod,True
California State University-San Bernardino,3,RCU,xdmod,True
CUNY College of Staten Island,3,RCU,xdmod,True
"University of Nebraska, Omaha",3,R2,xdmod,True
City University of New York,3,R1,xdmod,True
Union College,3,Other academic,xdmod,True
Innovision LLC,3,Non-academic,keyword,False
Western Michigan University,3,R2,xdmod,True
Smithsonian Institution,3,Non-academic,xdmod,True
Lamar University,3,R2,xdmod,True
Brandeis University,3,R1,xdmod,True
University of Vermont,3,R1,xdmod,True
Tennessee State University,3,R2,xdmod,True
GE HealthCare,3,Non-academic,xdmod,True
St. Cloud State University,3,RCU,xdmod,True
University of Oregon,3,R1,xdmod,True
California State University-Los Angeles,3,R2,xdmod,True
Carnegie Institution for Science,3,Non-academic,xdmod,True
Prarieview A&M,3,R2,xdmod,True
Purdue University in Indianapolis,2,R1,manual,False
Clark University,2,R2,xdmod,True
Missouri State University,2,RCU,xdmod,True
Scripps Research Institute,2,Non-academic,xdmod,True
New Mexico Highlands University,2,RCU,xdmod,True
University of St. Thomas (Texas),2,Other academic,keyword,False
California State University East Bay,2,RCU,xdmod,True
University of Detroit Mercy,2,RCU,xdmod,True
Texas Christian University,2,R2,xdmod,True
"University of Massachusetts, Boston",2,R1,carnegie,False
Hampton University,2,R2,xdmod,True
"University of Missouri, Saint Louis",2,R2,xdmod,True
Allegheny College,2,Other academic,xdmod,True
Virginia Commonwealth University,2,R1,xdmod,True
National Energy Technology Laboratory,2,Non-academic,xdmod,True
Northern Arizona University,2,R1,xdmod,True
CarbonPlan,2,Non-academic,keyword,False
SUNY College at Oswego,2,Other academic,keyword,False
Marine Biological Laboratory,2,Non-academic,xdmod,True
"University of North Carolina, Greensboro",2,R2,xdmod,True
West Chester University of Pennsylvania,2,R2,xdmod,True
Haverford College,2,RCU,xdmod,True
Augustana College,2,Other academic,keyword,False
University of Texas Health Science Center at San Antonio,2,R1,xdmod,True
University of Arkansas for Medical Sciences,2,R2,xdmod,True
Monmouth University,2,RCU,xdmod,True
Indiana University of Pennsylvania,2,R2,xdmod,True
Utica University,2,Other academic,xdmod,True
"University of Puerto Rico, Medical Sciences Campus",2,RCU,xdmod,True
Claremont McKenna College,2,RCU,xdmod,True
Utah Tech University,2,Other academic,xdmod,True
Carthage College,2,Other academic,keyword,False
Carroll University,2,Other academic,keyword,False
University of Wyoming,2,R1,xdmod,True
San Mateo County Community College District,2,Other academic,keyword,False
Hofstra University,2,R2,xdmod,True
South Dakota School of Mines and Technology,2,RCU,xdmod,True
Vassar College,2,RCU,xdmod,True
SUNY Downstate Health Sciences University,2,RCU,xdmod,True
"Simons Foundation, Flatiron Institute",2,Non-academic,xdmod,True
"OnPoint Scientific, Inc.",2,Non-academic,keyword,False
University of Texas MD Anderson Cancer Center,2,RCU,xdmod,True
Francis Marion University,2,Other academic,xdmod,True
"University of North Carolina, Wilmington",2,R2,xdmod,True
"Erudio Bio, Inc.",2,Non-academic,xdmod,True
The Jackson Laboratory for Genomic Medicine,2,Non-academic,xdmod,True
Alfred University,2,RCU,xdmod,True
Kent State University,2,R1,xdmod,True
Lake Forest College,2,Other academic,xdmod,True
University of Guam,2,RCU,carnegie,False
"University of Michigan, Dearborn",2,R2,xdmod,True
University of Dallas,2,Other academic,xdmod,True
Adelphi University,2,Other academic,xdmod,True
Kennesaw State University,2,R2,xdmod,True
University of Maryland,2,R1,manual,False
"University of Puerto Rico, Rio Piedras",2,R2,xdmod,True
Lamont-Doherty Earth Observatory,2,R1,xdmod,True
Center for Applied Internet Data Analysis,2,Non-academic,xdmod,True
Texas Advanced Computing Center,2,R1,xdmod,True
"University of Minnesota, Duluth",2,RCU,xdmod,True
Johns Hopkins University School of Medicine,2,R1,xdmod,True
University of Texas Health Science Center at Houston,2,R1,xdmod,True
James Madison University,2,R2,xdmod,True
Wistar Institute,2,Non-academic,xdmod,True
Miami University,2,R2,xdmod,True
Rockefeller University,2,R2,xdmod,True
Kettering Unversity,2,Non-academic,xdmod,True
Indiana University-Purdue University Fort Wayne,2,Other academic,xdmod,True
DePauw University,2,Other academic,xdmod,True
Air Liquide (US),2,Non-academic,xdmod,True
Lafayette College,2,Other academic,xdmod,True
Georgia Southern University,2,R2,xdmod,True
Des Moines University,2,RCU,xdmod,True
"Texas A&M University, Kingsville",2,R2,xdmod,True
Augusta University,2,R2,xdmod,True
Texas A&M International University,2,RCU,xdmod,True
Amherst College,2,RCU,xdmod,True
Spelman College,2,RCU,xdmod,True
University of Memphis,2,R1,xdmod,True
Aventusoft LLC,2,Non-academic,xdmod,True
National Institute of Aerospace,2,Non-academic,xdmod,True
Chaminade University,2,Other academic,keyword,False
General Atomics,2,Non-academic,xdmod,True
CWorthy,2,Non-academic,xdmod,True
Tarleton State University,2,R2,xdmod,True
Naval Postgraduate School,2,RCU,xdmod,True
Western Washington University,2,RCU,xdmod,True
Brewton-Parker College,2,Other academic,xdmod,True
New Mexico Institute of Mining and Technology,2,RCU,xdmod,True
Coastal Carolina University,2,RCU,xdmod,True
California State University-Fresno,2,R2,xdmod,True
Ursinus College,2,Other academic,xdmod,True
National Optical-Infrared Astronomy Research Laboratory,2,Non-academic,xdmod,True
Chapman University,2,R2,xdmod,True
Columbia College SC,2,Other academic,xdmod,True
Centre College,2,Other academic,xdmod,True
Fox Chase Cancer Center,2,Non-academic,xdmod,True
University of Texas Medical Branch at Galveston,2,R2,xdmod,True
Beth Israel Deaconess Medical Center,2,Non-academic,xdmod,True
American Museum of Natural History,2,Non-academic,xdmod,True
Moravian University,2,Other academic,xdmod,True
Xavier University of Louisiana,2,RCU,xdmod,True
White Dwarf Research Corporation,2,Non-academic,xdmod,True
Point Loma Nazarene University,2,Other academic,xdmod,True
California State University-Sacramento,2,R2,xdmod,True
Long Island University,2,R2,xdmod,True
St. Joseph's University (NY),2,Other academic,xdmod,True
University of Indianapolis,2,Other academic,xdmod,True
Gwinnett County Public Schools,1,Non-academic,keyword-default,False
Lawrence Livermore National Laboratory,1,Non-academic,keyword,False
Chabot College,1,Other academic,keyword,False
Foothill College,1,Other academic,keyword,False
Weber State University,1,Other academic,keyword,False
DePaul University,1,R2,carnegie,False
Spring Hill College,1,Other academic,keyword,False
Cleveland Community College,1,Other academic,keyword,False
National Institute of Standards and Technology,1,Non-academic,xdmod,True
Saginaw Valley State University,1,RCU,xdmod,True
Texas Southern University,1,R2,xdmod,True
Rhode Island College,1,RCU,carnegie,False
Saint Vincent College,1,Other academic,keyword,False
Emergenz Corp.,1,Non-academic,keyword,False
Geneva College,1,Other academic,keyword,False
St. John's School,1,Other academic,keyword,False
Connecticut College,1,Other academic,xdmod,True
Grand Canyon University,1,Other academic,keyword,False
Dominican University New York,1,Other academic,xdmod,True
Jacksonville University,1,Other academic,xdmod,True
El Paso Community College,1,Other academic,keyword,False
Facilis-AI,1,Non-academic,keyword,False
Northern Virginia Community College,1,Other academic,keyword,False
Alamgir Research Inc,1,Non-academic,xdmod,True
Montgomery County Community College,1,Other academic,keyword,False
Cherry Creek High School,1,Other academic,keyword,False
Memorial Sloan Kettering Cancer Center,1,Non-academic,xdmod,True
"University of Michigan, Flint",1,Other academic,keyword,False
Siena College,1,Other academic,xdmod,True
Middle Georgia State University,1,Other academic,xdmod,True
NASA,1,Non-academic,keyword,False
Portland Community College,1,Other academic,keyword,False
Baruch S. Blumberg Institute,1,Non-academic,keyword,False
Moreno Valley College,1,Other academic,keyword,False
Berea College,1,Other academic,keyword,False
Santa Monica College,1,Other academic,keyword,False
SUNY College at Brockport,1,Other academic,keyword,False
Vanderbilt University Medical Center,1,R1,xdmod,True
LSU New Orleans,1,R1,xdmod,True
Philadelphia College of Osteophathic Medicine,1,RCU,carnegie-fuzzy99,False
Western Carolina University,1,RCU,carnegie,False
Montgomery Botanical Center,1,Non-academic,xdmod,True
Santiago Canyon College,1,Other academic,keyword,False
Florida Gulf Coast University,1,RCU,xdmod,True
International Computer Science Institute,1,Non-academic,keyword,False
Langston University,1,RCU,carnegie,False
AI Literacy Foundation,1,Non-academic,keyword,False
Winona State University,1,Other academic,xdmod,True
University of Maryland School of Medicine,1,R1,xdmod,True
Cooper Union College,1,Other academic,xdmod,True
University of Kansas Medical Center,1,R1,manual,False
College of the Redwoods,1,Other academic,keyword,False
