pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
Contramont Research,180960.3843,43216.0786,682.2236,133.0,1.0,1.0,3.0
Cooper Union College - Cooper Union College,186471.2708,3286.7742,3255.5364,476.0,1.0,1.0,1.0
Cornell College,57284.0477,57283.4711,755.1922,12783.0,1.0,1.0,1.0
Cornell U - Cornell University,381748804.2922,274503250.7669,5963289.9978,8175914.0,113.0,142.0,456.0
DHS - US Department of Homeland Security,113269.1996,111944.2222,901.0517,174.0,1.0,1.0,10.0
DMU - Des Moines University,471313.9934,17169.4392,7326.4769,640.0,2.0,2.0,4.0
DSU - Delaware State University,3943054.339,1256975.265,39807.5136,5106.0,3.0,4.0,13.0
Dana-Farber Cancer Inst - Dana-Farber Cancer Institute,217564.9136,217513.7314,10533.3742,135514.0,1.0,1.0,8.0
Dartmouth College - Dartmouth College,3895382.3695,2597087.0697,44863.3314,5400.0,11.0,14.0,18.0
Davidson College - Davidson College,53872.4811,53872.2789,429.0914,195.0,1.0,1.0,2.0
DePauw U - DePauw University,17696.0509,7325.2961,411.7467,217.0,2.0,2.0,17.0
Deltares USA,10.9801,0.1578,0.0042,11.0,1.0,1.0,1.0
Desert Res Inst - Desert Research Institute,357346.185,357341.7122,2792.6978,131.0,1.0,2.0,1.0
Docugami,4725.4351,392.1967,6.0472,20.0,1.0,1.0,3.0
"Dominican U, Calif. - Dominican University of California",5148.7928,5148.7467,80.4492,4.0,1.0,1.0,1.0
"Dominican U, New York - Dominican University New York",35743.2154,34248.9478,1107.4872,125.0,1.0,1.0,1.0
Drake U - Drake University,1726139.3724,3246661.3167,54651.4122,2439.0,1.0,1.0,28.0
Drew University - Drew University,8138.2494,774.82,120.9011,184.0,1.0,1.0,9.0
Drexel U - Drexel University,7957476.8233,8158805.3556,181938.1964,101905.0,10.0,12.0,68.0
Duke U - Duke University,59460745.0246,77248275.4181,1374909.8628,148642.0,23.0,31.0,87.0
