value,amount,group,dimension,metric
5 - 10hr,219163.0,nonR1,jobwaittime,job_count
10 - 18hr,107204.0,nonR1,jobwaittime,job_count
18+hr,139468.0,nonR1,jobwaittime,job_count
0 - 1s,626.0,nonR1,jobwaittime,active_pi_count
1 - 30s,733.0,nonR1,jobwaittime,active_pi_count
30s - 30min,686.0,nonR1,jobwaittime,active_pi_count
30 - 60min,542.0,nonR1,jobwaittime,active_pi_count
1 - 5hr,565.0,nonR1,jobwaittime,active_pi_count
5 - 10hr,457.0,nonR1,jobwaittime,active_pi_count
10 - 18hr,390.0,nonR1,jobwaittime,active_pi_count
18+hr,403.0,nonR1,jobwaittime,active_pi_count
0 - 1s,3344.0,nonR1,jobwaittime,active_person_count
1 - 30s,4438.0,nonR1,jobwaittime,active_person_count
30s - 30min,3666.0,nonR1,jobwaittime,active_person_count
30 - 60min,1663.0,nonR1,jobwaittime,active_person_count
1 - 5hr,1849.0,nonR1,jobwaittime,active_person_count
5 - 10hr,1003.0,nonR1,jobwaittime,active_person_count
10 - 18hr,740.0,nonR1,jobwaittime,active_person_count
18+hr,773.0,nonR1,jobwaittime,active_person_count
0 - 1s,850.0,nonR1,jobwaittime,active_allocation_count
1 - 30s,994.0,nonR1,jobwaittime,active_allocation_count
30s - 30min,928.0,nonR1,jobwaittime,active_allocation_count
30 - 60min,720.0,nonR1,jobwaittime,active_allocation_count
1 - 5hr,751.0,nonR1,jobwaittime,active_allocation_count
5 - 10hr,592.0,nonR1,jobwaittime,active_allocation_count
10 - 18hr,501.0,nonR1,jobwaittime,active_allocation_count
18+hr,502.0,nonR1,jobwaittime,active_allocation_count
SimVascular; Stanford U,5245308.3786,nonR1,gateway,total_ace
ChemCompute; Sonoma State U,2167821.6982,nonR1,gateway,total_ace
ampgatewayuser; Georgia Tech,111322.8523,nonR1,gateway,total_ace
SciGaP; Georgia Tech,29990.3924,nonR1,gateway,total_ace
ChemCompute; Sonoma State U,132098.0,nonR1,gateway,job_count
SimVascular; Stanford U,5081.0,nonR1,gateway,job_count
SciGaP; Georgia Tech,961.0,nonR1,gateway,job_count
ampgatewayuser; Georgia Tech,276.0,nonR1,gateway,job_count
SciGaP; Georgia Tech,1.0,nonR1,gateway,active_pi_count
SimVascular; Stanford U,1.0,nonR1,gateway,active_pi_count
ampgatewayuser; Georgia Tech,1.0,nonR1,gateway,active_pi_count
ChemCompute; Sonoma State U,1.0,nonR1,gateway,active_pi_count
SciGaP; Georgia Tech,1.0,nonR1,gateway,active_person_count
SimVascular; Stanford U,1.0,nonR1,gateway,active_person_count
ampgatewayuser; Georgia Tech,1.0,nonR1,gateway,active_person_count
ChemCompute; Sonoma State U,1.0,nonR1,gateway,active_person_count
SimVascular; Stanford U,2.0,nonR1,gateway,active_allocation_count
ChemCompute; Sonoma State U,2.0,nonR1,gateway,active_allocation_count
SciGaP; Georgia Tech,1.0,nonR1,gateway,active_allocation_count
ampgatewayuser; Georgia Tech,1.0,nonR1,gateway,active_allocation_count
compute,96372960.2595,nonR1,queue,total_ace
shared,85161472.9553,nonR1,queue,total_ace
RM,76538909.9757,nonR1,queue,total_ace
